Designator,Mid X,Mid Y,Rotation,Layer
C1,33.97611,17.837502,270.0,top
C10,45.5,12.125,270.0,top
C11,50.303029,35.735543,270.0,top
C12,58.006009,43.471174,270.0,top
C13,18.0,75.65,270.0,top
C14,44.010932,35.604517,90.0,top
C15,59.395817,50.550677,0.0,top
C16,58.974471,49.012789,180.0,top
C17,20.535747,65.982169,270.0,top
C18,40.655273,42.624891,90.0,top
C19,45.6,57.325,270.0,top
C2,94.62,54.5,0.0,top
C20,58.648461,23.503914,90.0,top
C21,43.998403,56.518965,90.0,top
C22,52.36537,37.232327,270.0,top
C23,31.594854,80.29303,90.0,top
C24,27.349689,76.549449,180.0,top
C25,24.235694,79.656745,0.0,top
C26,36.62,60.5075,90.0,top
C27,21.85053,45.591319,180.0,top
C28,102.32,67.8,0.0,top
C29,81.172507,73.668878,180.0,top
C3,34.136094,13.776255,270.0,top
C30,45.8,32.2,270.0,top
C31,40.596431,73.785111,90.0,top
C32,82.478416,82.869984,180.0,top
C33,40.112642,78.273009,90.0,top
C34,87.957239,14.864974,90.0,top
C35,86.157239,14.864974,90.0,top
C36,94.255886,8.941552,180.0,top
C38,100.657239,15.039974,90.0,top
C39,98.257239,14.939974,90.0,top
C4,36.30975,78.828339,270.0,top
C40,96.057239,15.039974,90.0,top
C5,24.329034,62.35,90.0,top
C6,21.711843,61.812494,270.0,top
C7,19.6,58.1,90.0,top
C8,21.935954,50.13937,180.0,top
C9,30.35,50.2,180.0,top
D1,97.4,76.0625,270.0,top
D4,118.05,55.0,270.0,top
FB1,36.275783,74.83537,90.0,top
J1,73.086749,19.954621,180.0,top
J11,10.5,78.0,270.0,top
J12,10.5,46.0,270.0,top
J13,10.5,14.0,270.0,top
J2,7.0,62.0,90.0,top
J3,7.0,30.0,90.0,top
J4,108.652288,79.0,90.0,top
J6,71.124103,77.981065,180.0,top
J9,113.9,64.0,90.0,top
L1,91.842239,18.889974,0.0,top
Q3,103.6,56.0625,270.0,top
Q4,107.5,56.0,270.0,top
Q5,111.3,55.4625,270.0,top
R1,39.6,60.4875,90.0,top
R10,16.10424,66.057948,270.0,top
R11,18.297294,66.088836,90.0,top
R12,54.325,16.3,180.0,top
R13,18.1,80.2875,90.0,top
R14,60.2,14.025,90.0,top
R15,59.648461,20.998914,270.0,top
R16,22.002513,47.794122,0.0,top
R17,37.775,51.6,0.0,top
R18,91.596416,49.954609,270.0,top
R19,41.8,60.3875,90.0,top
R2,19.7,53.9125,270.0,top
R20,90.916515,63.681193,90.0,top
R21,105.975,66.275,0.0,top
R22,106.325,59.85,0.0,top
R23,22.940404,73.418729,270.0,top
R24,24.302384,82.183354,180.0,top
R25,91.552327,46.295277,90.0,top
R26,38.726571,48.185644,180.0,top
R27,81.225,76.0,0.0,top
R28,26.425,69.4,0.0,top
R29,88.813361,61.723083,270.0,top
R3,30.366687,44.478924,270.0,top
R30,92.575,74.9,0.0,top
R31,61.074179,34.151013,270.0,top
R32,59.355231,34.177065,270.0,top
R33,57.528041,34.18905,270.0,top
R34,91.311037,26.105279,90.0,top
R35,91.621735,35.804745,90.0,top
R36,91.201288,29.891621,270.0,top
R37,39.10493,82.420269,0.0,top
R38,43.218669,10.885177,270.0,top
R39,26.974264,39.433321,0.0,top
R4,30.3125,48.0,180.0,top
R40,26.363209,45.616251,180.0,top
R41,21.950392,43.746413,180.0,top
R42,66.2,14.375,270.0,top
R43,64.6,17.575,270.0,top
R44,63.4,14.275,270.0,top
R45,62.2,17.475,270.0,top
R46,115.6,57.4,0.0,top
R47,115.6,55.7,0.0,top
R48,115.6,54.0,180.0,top
R49,94.325,69.9,180.0,top
R5,26.451365,50.177069,180.0,top
R50,95.9,71.7,0.0,top
R51,91.130088,57.36628,270.0,top
R52,86.769739,50.773804,90.0,top
R53,88.696506,50.817133,90.0,top
R54,87.094131,80.265136,0.0,top
R56,86.842627,10.486039,90.0,top
R57,88.67955,10.466181,90.0,top
R58,98.352258,10.159026,0.0,top
R59,98.332515,11.876681,180.0,top
R6,18.0,71.3875,270.0,top
R60,101.700169,11.856937,180.0,top
R61,91.566478,39.061036,270.0,top
R62,84.856885,19.164652,0.0,top
R7,27.828596,62.4879,90.0,top
R8,36.7125,69.5,180.0,top
R9,44.7,14.8,0.0,top
S1,48.919065,10.651432,270.0,top
S2,57.049761,10.841763,270.0,top
SW1,114.2,13.4,90.0,top
SW2,100.62,28.1,270.0,top
SW3,100.62,48.1,270.0,top
SW4,100.62,38.1,270.0,top
U1,28.173781,15.171445,0.0,top
U10,48.1,32.1,0.0,top
U11,106.070558,12.211875,0.0,top
U12,106.028376,18.71157,180.0,top
U13,46.05641,76.860311,180.0,top
U14,81.858785,80.417151,180.0,top
U16,91.857239,13.564974,270.0,top
U2,28.305,56.425,90.0,top
U3,53.780643,21.809357,270.0,top
U4,49.340364,46.721181,0.0,top
U5,28.767963,80.837474,90.0,top
U6,26.704936,73.877514,180.0,top
U7,96.525,61.225,90.0,top
U8,105.35,63.5625,270.0,top
U9,86.6,74.6,270.0,top
Y1,47.248131,35.682486,180.0,top
